specieskey	highertaxon_key	kingdom	phylum	order	family	genus	species
1730470	797	Animalia	Arthropoda	Lepidoptera	Cossidae	Xyleutites	Xyleutites miocenicus
1731003	797	Animalia	Arthropoda	Lepidoptera	Cossidae	Gurnetia	Gurnetia durranti
1731842	797	Animalia	Arthropoda	Lepidoptera	Eriocraniidae	Eriocranites	Eriocranites hercynicus
1731854	797	Animalia	Arthropoda	Lepidoptera	Eriocraniidae	Electrocrania	Electrocrania immensipalpa
1735439	797	Animalia	Arthropoda	Lepidoptera	Copromorphidae	Copromorpha	Copromorpha fossilis
1735592	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites zelkovae
1735593	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites heringi
1735594	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites messelensis
1735595	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites carpiniorientalis
1736443	797	Animalia	Arthropoda	Lepidoptera	Tortricidae	Polyvena	Polyvena horatis
1747077	797	Animalia	Arthropoda	Lepidoptera	Tortricidae	Electresia	Electresia zalesskii
1826843	797	Animalia	Arthropoda	Lepidoptera	Notodontidae	Cerurites	Cerurites wagneri
1828617	797	Animalia	Arthropoda	Lepidoptera	Hepialidae	Oiophassus	Oiophassus nycterus
1829063	797	Animalia	Arthropoda	Lepidoptera	Hepialidae	Prohepialus	Prohepialus incertus
1829258	797	Animalia	Arthropoda	Lepidoptera	Lyonetiidae	Prolyonetia	Prolyonetia cockerelli
1830652	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Chionaemopsis	Chionaemopsis quadrifasciatus
1830730	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Epinomeuta	Epinomeuta acutipennella
1830731	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Epinomeuta	Epinomeuta truncatipennella
1830732	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Epinomeuta	Epinomeuta minorella
1830733	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Epinomeuta	Epinomeuta inversella
1830789	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Argyresthites	Argyresthites balticella
1830790	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Argyresthites	Argyresthites succinella
1830856	797	Animalia	Arthropoda	Lepidoptera	Yponomeutidae	Scythropites	Scythropites balticella
1832734	797	Animalia	Arthropoda	Lepidoptera	Elachistidae	Elachistites	Elachistites sukatshevae
1832780	797	Animalia	Arthropoda	Lepidoptera	Elachistidae	Microperittia	Microperittia probosciphera
1832798	797	Animalia	Arthropoda	Lepidoptera	Elachistidae	Praemendesia	Praemendesia minima
1833230	797	Animalia	Arthropoda	Lepidoptera	Elachistidae	Palaeoelachista	Palaeoelachista traugottolseni
1833700	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Epiborkhausenites	Epiborkhausenites obscurotrimaculatus
1833815	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Microsymmocites	Microsymmocites kuznetzovi
1835055	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Glesseumeyrickia	Glesseumeyrickia henrikseni
1835388	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Schiffermuelleria	Schiffermuelleria jantharica
1835470	797	Animalia	Arthropoda	Lepidoptera	Depressariidae	Hexerites	Hexerites primalis
1835795	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Depressarites	Depressarites blastuliferella
1835796	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Depressarites	Depressarites levipalpella
1837024	797	Animalia	Arthropoda	Lepidoptera	Depressariidae	Palaeodepressaria	Palaeodepressaria hannemanni
1837100	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Paraborkhausenites	Paraborkhausenites innominatus
1837101	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Paraborkhausenites	Paraborkhausenites vicinella
1837956	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites implicatella
1837957	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites angustipennella
1837958	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites vulneratella
1837959	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites incolumnella
1837960	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites crassella
1837961	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites ingentella
1837962	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites incertella
1837963	797	Animalia	Arthropoda	Lepidoptera	Oecophoridae	Borkhausenites	Borkhausenites bachofeni
1845704	797	Animalia	Arthropoda	Lepidoptera	Autostichidae	Symmocites	Symmocites rohdendorfi
1845926	797	Animalia	Arthropoda	Lepidoptera	Autostichidae	Oegoconiites	Oegoconiites borisjaki
1860727	797	Animalia	Arthropoda	Lepidoptera	Incurvariidae	Incurvarites	Incurvarites alienella
1860952	797	Animalia	Arthropoda	Lepidoptera	Adelidae	Adelites	Adelites electreella
1860953	797	Animalia	Arthropoda	Lepidoptera	Adelidae	Adelites	Adelites serraticornella
1860954	797	Animalia	Arthropoda	Lepidoptera	Adelidae	Adelites	Adelites purpurascens
1860969	797	Animalia	Arthropoda	Lepidoptera	Adelidae	Adela	Adela kuznetzovi
1861015	797	Animalia	Arthropoda	Lepidoptera	Adelidae	Adela	Adela similis
1862680	797	Animalia	Arthropoda	Lepidoptera	Sphingidae	Sphingidites	Sphingidites weidneri
1870690	797	Animalia	Arthropoda	Lepidoptera	Pyralidae	Glendotricha	Glendotricha olgae
1872000	797	Animalia	Arthropoda	Lepidoptera	Pyralidae	Gallerites	Gallerites keleri
1877571	797	Animalia	Arthropoda	Lepidoptera	Pyralidae	Pyralites	Pyralites obscurus
1892777	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Doxocopa	Doxocopa wilmattae
1918909	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Prodryas	Prodryas persephone
1932068	797	Animalia	Arthropoda	Lepidoptera	Lycaenidae	Aquisextana	Aquisextana irenaei
1935038	797	Animalia	Arthropoda	Lepidoptera	Riodinidae	Riodinella	Riodinella nympha
1936228	797	Animalia	Arthropoda	Lepidoptera	Riodinidae	Lycaenites	Lycaenites gabbroensis
1939613	797	Animalia	Arthropoda	Lepidoptera		Phylledestes	Phylledestes vorax
1939615	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Parasabatinca	Parasabatinca aftimacrai
1939663	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Micropterix	Micropterix anglica
1939735	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Undopterix	Undopterix sukatshevae
1939766	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Sabatinca	Sabatinca pervetus
1939773	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Sabatinca	Sabatinca proavittella
1988315	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Geometridites	Geometridites repens
4691600	797	Animalia	Arthropoda	Lepidoptera	Papilionidae	Doritites	Doritites bosniaskii
4695532	797	Animalia	Arthropoda	Lepidoptera	Papilionidae	Praepapilio	Praepapilio gracilis
4695533	797	Animalia	Arthropoda	Lepidoptera	Papilionidae	Praepapilio	Praepapilio colorado
4698499	797	Animalia	Arthropoda	Lepidoptera	Pieridae	Miopieris	Miopieris talboti
4702019	797	Animalia	Arthropoda	Lepidoptera	Pieridae	Oligodonta	Oligodonta florissantensis
4706264	797	Animalia	Arthropoda	Lepidoptera	Gracillariidae	Gracillariites	Gracillariites lithuanicus
4706265	797	Animalia	Arthropoda	Lepidoptera	Gracillariidae	Gracillariites	Gracillariites mixtus
5104387	797	Animalia	Arthropoda	Lepidoptera		Paleolepidopterites	Tortrix destructus
5123205	797	Animalia	Arthropoda	Lepidoptera	Pterophoridae	Pterophorus	Pterophorus oligocenicus
5124537	797	Animalia	Arthropoda	Lepidoptera	Saturniidae	Rothschildia	Rothschildia fossilis
5127743	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Nymphalites	Nymphalites zeuneri
5127744	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Nymphalites	Nymphalites scudderi
5129314	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Vanessa	Vanessa karaganica
5147794	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Anthometra	Anthometra plumularia
8438153	797	Animalia	Arthropoda	Lepidoptera	Plutellidae	Plutellites	Plutellites tenebricus
8439943	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites sharovi
8440611	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Longcapitalis	Longcapitalis excelsus
8441488	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Parasabatinca	Parasabatinca caldasae
8443938	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites gersdorfi
8447978	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Palaeotinea	Palaeotinea rasnitsyni
8448637	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Problongos	Problongos baudiliensis
8450458	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Dynamine	Dynamine alexae
8451981	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Eolepidopterix	Eolepidopterix jurassica
8455127	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Tillyardinea	Tillyardinea eocaenica
8460947	797	Animalia	Arthropoda	Lepidoptera	Sphingidae	Mioclanis	Mioclanis shanwangiana
8464977	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Electromeessia	Electromeessia zagulijaevi
8465629	797	Animalia	Arthropoda	Lepidoptera		Paleolepidopterites	Tortrix florissantana
8471526	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Phalaenites	Phalaenites crenata
8475607	797	Animalia	Arthropoda	Lepidoptera	Psychidae	Psychites	Psychites pristinella
8476258	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites haidingeri
8478103	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Pseudoneorina	Pseudoneorina coulleti
8479699	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Seresilepidopteron	Seresilepidopteron dualis
8480391	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Bohemannia	Bohemannia butzmanni
8482919	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Paratriaxomasia	Paratriaxomasia solentensis
8484827	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites serpentina
8486350	797	Animalia	Arthropoda	Lepidoptera		Karataunia	Karataunia lapidaria
8487042	797	Animalia	Arthropoda	Lepidoptera	Lycaenidae	Lithopsyche	Lithopsyche antiqua
8488905	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites stavropolicus
8490482	797	Animalia	Arthropoda	Lepidoptera	Mesokristenseniidae	Mesokristensenia	Mesokristensenia latipenna
8493056	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Scardiites	Scardiites meyricki
8494996	797	Animalia	Arthropoda	Lepidoptera		Palaeotaulius	Palaeotaulius vicinus
8496295	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Quadruplecivena	Quadruplecivena celsa
8497204	797	Animalia	Arthropoda	Lepidoptera	Ascololepidopterigidae	Pegolepidopteron	Pegolepidopteron latiala
8498474	797	Animalia	Arthropoda	Lepidoptera		Archiptilia	Archiptilia ovata
8499754	797	Animalia	Arthropoda	Lepidoptera	Zygaenidae	Zygaenites	Zygaenites controversus
8500444	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Proscardiites	Proscardiites martynovi
8504688	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites kaspievi
8507241	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Auliepterix	Auliepterix mirabilis
8508855	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites baltica
8510781	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Tinea	Tinea antiqua
8511507	797	Animalia	Arthropoda	Lepidoptera		Paleolepidopterites	Tortricites sadilenkoi
8513420	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites samsonovi
8514102	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Akainalepidopteron	Akainalepidopteron elachipteron
8517689	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites effosa
8521981	797	Animalia	Arthropoda	Lepidoptera	Psychidae	Sucinopsyche	Sucinopsyche transversum
8522682	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Hydriomena	Hydriomena protrita
8524637	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Satyrites	Satyrites reynesii
8526260	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Daiopterix	Daiopterix rasnitsyni
8526957	797	Animalia	Arthropoda	Lepidoptera	Riodinidae	Voltinia	Voltinia dramba
8528923	797	Animalia	Arthropoda	Lepidoptera	Pterophoridae	Merrifieldia	Merrifieldia oligocenicus
8532247	797	Animalia	Arthropoda	Lepidoptera	Mesokristenseniidae	Kladolepidopteron	Kladolepidopteron parva
8533891	797	Animalia	Arthropoda	Lepidoptera	Erebidae	Arctiites	Arctiites deletus
8535785	797	Animalia	Arthropoda	Lepidoptera	Erebidae	Oligamatites	Oligamatites martynovi
8536527	797	Animalia	Arthropoda	Lepidoptera	Incurvariidae	Prophalonia	Prophalonia gigas
8537494	797	Animalia	Arthropoda	Lepidoptera	Mesokristenseniidae	Kladolepidopteron	Kladolepidopteron subaequalis
8540170	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Tineosemopsis	Tineosemopsis decurtatus
8540868	797	Animalia	Arthropoda	Lepidoptera	Cossidae	Kleopathra	Kleopathra nemogypsia
8542887	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Archaeolycorea	Archaeolycorea ferreirai
8543618	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Daiopterix	Daiopterix olgae
8547256	797	Animalia	Arthropoda	Lepidoptera	Geometridae	Geometridites	Geometridites larentiiformis
8551598	797	Animalia	Arthropoda	Lepidoptera	Elachistidae	Elachistites	Elachistites inclusus
8555937	797	Animalia	Arthropoda	Lepidoptera	Micropterigidae	Undopterix	Undopterix caririensis
8556669	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites kzyldzharica
8561403	797	Animalia	Arthropoda	Lepidoptera	Nepticulidae	Stigmellites	Stigmellites fossilis
8562089	797	Animalia	Arthropoda	Lepidoptera	Eolepidopterigidae	Petilicorpus	Petilicorpus cristatus
8563768	797	Animalia	Arthropoda	Lepidoptera	Pieridae	Stolopsyche	Stolopsyche libytheoides
8565792	797	Animalia	Arthropoda	Lepidoptera	Noctuidae	Noctuites	Noctuites deperditus
8570231	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Palaeoscardiites	Palaeoscardiites mordvilkoi
8572950	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Apanthesis	Apanthesis leuce
8575352	797	Animalia	Arthropoda	Lepidoptera	Nymphalidae	Vanessa	Vanessa amerindica
8575999	797	Animalia	Arthropoda	Lepidoptera		Pseudorthophlebia	Pseudorthophlebia brodiei
8577348	797	Animalia	Arthropoda	Lepidoptera	Zygaenidae	Neurosymploca	Neurosymploca oligocenica
8578087	797	Animalia	Arthropoda	Lepidoptera	Tineidae	Pseudocephitinea	Pseudocephitinea svetlanae
